Cinsiyet,Şirket Konumu,Çalışma Durumu,Çalışma Şekli,Çalışan Sayısı,Deneyim,Sektör,Pozisyon,Pozisyonunuzun Ismi?.1,Aylık Net Maaş (TL),"Yıllık Ek Gelir (Prim, Bonus)",Yan Haklar
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,5-7 Yıl,Bilgi Teknolojileri ve Yazılım,Kıdemli yazılım geliştirici,Kıdemli Yazılım Geliştirici,81.000-90.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,3-5 Yıl,Finans ve Muhasebe,Muhasebe,Muhasebe,21.000-30.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Ofiste,50-99,0-1 Yıl,Perakende ve E-tıcaret,E ticaret uzman yardımcısı,E Ticaret Uzman Yardımcısı,31.000-40.000 TL,Ek gelirim yok,Şirket Telefonu
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Proje Yöneticisi,Proje Yöneticisi,31.000-40.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,3-5 Yıl,Diğer,Satış danışmanı ,Satış Danışmanı ,21.000-30.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,1-3 Yıl,Dijital Medya ve Eğlence,Digital Media & Influencer Marketing Manager,Digital Media & Influencer Marketing Manager,21.000-30.000 TL,Ek gelirim yok,"Şirket Telefonu, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Yarı zamanlı,Uzaktan,1-49,0-1 Yıl,Dijital Medya ve Eğlence,Product manager,Product Manager,10.000-20.000 TL,20.000-30.000 TL,"Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,Diğer,Organizasyon sorumlusu ,Organizasyon Sorumlusu ,10.000-20.000 TL,20.000-30.000 TL,Şirket Aracı
Kadın,Türkiye,Tam zamanlı,Hybrid,150-199,5-7 Yıl,Diğer,İnsan Kaynakları Uzmanı,İnsan Kaynakları Uzmanı,41.000-50.000 TL,31.000-50.000 TL,"Özel Sağlık Sigortası, Ulaşım Yardımı, Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,3-5 Yıl,Sağlık ve Tıp,Dijital Pazarlama Supervisor ,Dijital Pazarlama Supervisor ,51.000-60.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Otomotiv,Proje yöneticisi ,Proje Yöneticisi ,41.000-50.000 TL,Ek gelirim yok,Şirket Telefonu
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,5-7 Yıl,Üretim,Satın Alm Sorumlusu,Satın Alm Sorumlusu,21.000-30.000 TL,Ek gelirim yok,Ulaşım Yardımı
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,9-12 Yıl,Mühendislik,Proje yoneticisi,Proje Yoneticisi,101.000-120.000 TL,31.000-50.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu"
Erkek,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,Veri mühendisi ,Veri Mühendisi ,61.000-70.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,12 ve ustu,Otomotiv,Bütçe Raporlama Kıdemli Uzmanı,Bütçe Raporlama Kıdemli Uzmanı,51.000-60.000 TL,51.000-70.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Ofiste,50-99,1-3 Yıl,Finans ve Muhasebe,MUHASEBE VE İNSAN KAYNAKLARI SORUMLUSU,Muhasebe Ve İnsan Kaynaklari Sorumlusu,31.000-40.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Ofiste,100-149,9-12 Yıl,Bilgi Teknolojileri ve Yazılım,Yönetici asistanı ,Yönetici Asistanı ,31.000-40.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,7-9 Yıl,Perakende ve E-tıcaret,Dijital pazarlama ve e-ticaret müdürü ,Dijital Pazarlama Ve E-Ticaret Müdürü ,21.000-30.000 TL,51.000-70.000 TL,"Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Yarı zamanlı,Uzaktan,1-49,1-3 Yıl,Dijital Medya ve Eğlence,İçerik Üreticisi,İçerik Üreticisi,10.000-20.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,İnşaat,Teknik Ofis Mühendisi,Teknik Ofis Mühendisi,21.000-30.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Yarı zamanlı,Hybrid,200 ve ustu,0-1 Yıl,Otomotiv,Sürdürülebilirlik Uzmanı,Sürdürülebilirlik Uzmanı,21.000-30.000 TL,Ek gelirim yok,"Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Ofiste,100-149,3-5 Yıl,Finans ve Muhasebe,Finansal kiralama satın alma yetkilisi ,Finansal Kiralama Satın Alma Yetkilisi ,21.000-30.000 TL,20.000-30.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Yarı zamanlı,Ofiste,50-99,0-1 Yıl,Tekstil ve Hazır Giyim,Kasiyer,Kasiyer,10.000-20.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs)"
Erkek,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,7-9 Yıl,İnşaat,Key account sales manager,Key Account Sales Manager,41.000-50.000 TL,111.000-150.000 TL,Özel Sağlık Sigortası
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,0-1 Yıl,Üretim,Planlama Sorumlusu,Planlama Sorumlusu,10.000-20.000 TL,Ek gelirim yok,Ulaşım Yardımı
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Diğer,Gazeteci ,Gazeteci ,21.000-30.000 TL,20.000-30.000 TL,"Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,9-12 Yıl,Mühendislik,Pazarlama Yöneticisi,Pazarlama Yöneticisi,51.000-60.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu, Şirket Aracı"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Diğer,Sekreter ,Sekreter ,10.000-20.000 TL,Ek gelirim yok,Özel Sağlık Sigortası
Kadın,Yurt dışı,Tam zamanlı,Hybrid,200 ve ustu,7-9 Yıl,Bilgi Teknolojileri ve Yazılım,Senior Program Manager,Senior Program Manager,120.000 TL ve üstü,150.000 TL ve üstü,"Ulaşım Yardımı, Şirket Telefonu, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Ofiste,100-149,1-3 Yıl,Gıda ve İçecek,Gıda mühendisi,Gıda Mühendisi,21.000-30.000 TL,Ek gelirim yok,Ulaşım Yardımı
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Diğer,İhracat Operasyon Uzman Yard.,İhracat Operasyon Uzman Yard.,31.000-40.000 TL,31.000-50.000 TL,"Özel Sağlık Sigortası, Ulaşım Yardımı, Şirket Telefonu, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Diğer,Satış personeli ,Satış Personeli ,21.000-30.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,7-9 Yıl,Sağlık ve Tıp,Hemşire (yoğun bakım),Hemşire (Yoğun Bakım),10.000-20.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Sağlık ve Tıp,Pratisyen hekim,Pratisyen Hekim,81.000-90.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Turizm ve Konaklama,insan kaynakları memuru ,Insan Kaynakları Memuru ,10.000-20.000 TL,Ek gelirim yok,Şirket Telefonu
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,3-5 Yıl,Tekstil ve Hazır Giyim,merchandiser,Merchandiser,31.000-40.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,5-7 Yıl,Tekstil ve Hazır Giyim,Arge şefi,Arge Şefi,31.000-40.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Ulaşım Yardımı, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Ofiste,150-199,9-12 Yıl,Finans ve Muhasebe,Muhasebe,Muhasebe,21.000-30.000 TL,Ek gelirim yok,Yan hakkim yok
