Cinsiyet,Şirket Konumu,Çalışma Durumu,Çalışma Şekli,Çalışan Sayısı,Deneyim,Sektör,Pozisyon,Pozisyonunuzun Ismi?.1,Aylık Net Maaş (TL),"Yıllık Ek Gelir (Prim, Bonus)",Yan Haklar
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,3-5 Yıl,Otomotiv,Sosyal medya içerik editörü,Sosyal Medya Içerik Editörü,31.000-40.000 TL,31.000-50.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,Sağlık ve Tıp,Fizyoterapi Teknikeri,Fizyoterapi Teknikeri,10.000-20.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,1-3 Yıl,Diğer,Müşteri temsilcisi ,Müşteri Temsilcisi ,31.000-40.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Hybrid,150-199,5-7 Yıl,Eğitim,Müdür yardımcısı ,Müdür Yardımcısı ,31.000-40.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,0-1 Yıl,Gıda ve İçecek,Mağaza Müdür Yardımcısı ,Mağaza Müdür Yardımcısı ,21.000-30.000 TL,20.000-30.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,12 ve ustu,Telekomünikasyon,Technology Internal Controller,Technology Internal Controller,101.000-120.000 TL,150.000 TL ve üstü,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,Grafik tasarım ,Grafik Tasarım ,21.000-30.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,9-12 Yıl,Mühendislik,Satış müdürü,Satış Müdürü,41.000-50.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,12 ve ustu,Sağlık ve Tıp,Hemşire ,Hemşire ,41.000-50.000 TL,Ek gelirim yok,Yan hakkim yok
Erkek,Türkiye,Tam zamanlı,Hybrid,1-49,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Veri mühendisi,Veri Mühendisi,51.000-60.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,0-1 Yıl,Gıda ve İçecek,Üretim yöneticisi ,Üretim Yöneticisi ,41.000-50.000 TL,31.000-50.000 TL,"Özel Sağlık Sigortası, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Uzaktan,1-49,3-5 Yıl,Mühendislik,Şehir plancısı,Şehir Plancısı,10.000-20.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,ERP UZMAN YARDIMCISI,Erp Uzman Yardimcisi,31.000-40.000 TL,31.000-50.000 TL,"Özel Sağlık Sigortası, Ulaşım Yardımı, Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Danışmanlık,Danışmanlık,41.000-50.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,12 ve ustu,Finans ve Muhasebe,Yönetmen,Yönetmen,71.000-80.000 TL,150.000 TL ve üstü,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Ofiste,50-99,3-5 Yıl,Diğer,İnsan kaynakları uzmanı,İnsan Kaynakları Uzmanı,41.000-50.000 TL,Ek gelirim yok,"Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,12 ve ustu,Tekstil ve Hazır Giyim,Modelist ,Modelist ,31.000-40.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,9-12 Yıl,Diğer,Ticari pazarlama müdürü,Ticari Pazarlama Müdürü,71.000-80.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu, Şirket Aracı"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,0-1 Yıl,Finans ve Muhasebe,Finans danışmanı,Finans Danışmanı,21.000-30.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,0-1 Yıl,Dijital Medya ve Eğlence,Programmatic executive,Programmatic Executive,21.000-30.000 TL,20.000-30.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Otomotiv,Arge Mühendisi,Arge Mühendisi,31.000-40.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,7-9 Yıl,Bilgi Teknolojileri ve Yazılım,Satış analiz yöneticisi,Satış Analiz Yöneticisi,61.000-70.000 TL,150.000 TL ve üstü,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu"
Erkek,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,9-12 Yıl,Havacılık,Ekip Lideri,Ekip Lideri,120.000 TL ve üstü,51.000-70.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Yarı zamanlı,Uzaktan,1-49,3-5 Yıl,Sağlık ve Tıp,Klinik Psikolog,Klinik Psikolog,21.000-30.000 TL,Ek gelirim yok,Yan hakkim yok
Erkek,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,3-5 Yıl,Otomotiv,Yazılım kalite mühendisi ,Yazılım Kalite Mühendisi ,71.000-80.000 TL,91.000-110.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,Eğitim,proje uzmanı,Proje Uzmanı,21.000-30.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu"
Erkek,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Gıda ve İçecek,satış sorumlusu,Satış Sorumlusu,31.000-40.000 TL,150.000 TL ve üstü,"Yemek Yardımı  (Sodexo, Multinet vs), Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,3-5 Yıl,Mühendislik,Elektrik Mühendisi,Elektrik Mühendisi,41.000-50.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Gıda ve İçecek,Cost controller,Cost Controller,21.000-30.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Yarı zamanlı,Ofiste,200 ve ustu,3-5 Yıl,Tekstil ve Hazır Giyim,Satış danışmanı,Satış Danışmanı,10.000-20.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Erkek,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,9-12 Yıl,Üretim,Sistem destek uzmanı,Sistem Destek Uzmanı,31.000-40.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,Yönetici Asistanı,Yönetici Asistanı,31.000-40.000 TL,Ek gelirim yok,"Yan hakkim yok, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,3-5 Yıl,Sağlık ve Tıp,Diş hekimi,Diş Hekimi,81.000-90.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Ofiste,150-199,1-3 Yıl,Sağlık ve Tıp,Biyolog,Biyolog,21.000-30.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,7-9 Yıl,Finans ve Muhasebe,Üst düzey yönetici as.,Üst Düzey Yönetici As.,61.000-70.000 TL,20.000-30.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,Perakende ve E-tıcaret,İthalat Sorumlusu,İthalat Sorumlusu,31.000-40.000 TL,51.000-70.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,3-5 Yıl,Dijital Medya ve Eğlence,Account Manager,Account Manager,31.000-40.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Uzaktan,1-49,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Associate Product Manager,Associate Product Manager,21.000-30.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,3-5 Yıl,Perakende ve E-tıcaret,Training executive,Training Executive,31.000-40.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,3-5 Yıl,Dijital Medya ve Eğlence,Performance Marketing Manager,Performance Marketing Manager,41.000-50.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,iş analisti,Iş Analisti,51.000-60.000 TL,71.000-90.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,3-5 Yıl,Diğer,Müşteri hizmetleri ,Müşteri Hizmetleri ,10.000-20.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Erkek,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,7-9 Yıl,Tekstil ve Hazır Giyim,Senior Business intelligence specialist ,Senior Business Intelligence Specialist ,81.000-90.000 TL,20.000-30.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Yurt dışı,Tam zamanlı,Hybrid,200 ve ustu,5-7 Yıl,Sağlık ve Tıp,Eczacı ,Eczacı ,120.000 TL ve üstü,71.000-90.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Ofiste,150-199,1-3 Yıl,Gıda ve İçecek,Satış danışmanı ,Satış Danışmanı ,10.000-20.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,1-3 Yıl,Diğer,Proje Uzmanı,Proje Uzmanı,41.000-50.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Sağlık ve Tıp,Satınalma uzmanı ,Satınalma Uzmanı ,21.000-30.000 TL,Ek gelirim yok,Özel Sağlık Sigortası
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Diğer,Hukuk İşleri Yetkilisi,Hukuk İşleri Yetkilisi,21.000-30.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,12 ve ustu,Finans ve Muhasebe,muhasebeci ,Muhasebeci ,31.000-40.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,0-1 Yıl,Finans ve Muhasebe,Müşteri temsilcisi ,Müşteri Temsilcisi ,21.000-30.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Erkek,Türkiye,Tam zamanlı,Ofiste,100-149,1-3 Yıl,Otomotiv,Erp sorumlusu,Erp Sorumlusu,21.000-30.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Yarı zamanlı,Ofiste,50-99,5-7 Yıl,Eğitim,Türkçe öğretmeni ,Türkçe Öğretmeni ,21.000-30.000 TL,111.000-150.000 TL,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Hybrid,50-99,9-12 Yıl,Finans ve Muhasebe,Accounting supervisor ,Accounting Supervisor ,51.000-60.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Uzaktan,1-49,3-5 Yıl,Diğer,Brand Manager ,Brand Manager ,31.000-40.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,İş Analisti,İş Analisti,51.000-60.000 TL,20.000-30.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,3-5 Yıl,Perakende ve E-tıcaret,Satın alma ve planlama uzmanı,Satın Alma Ve Planlama Uzmanı,31.000-40.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Ulaşım Yardımı, Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Uzaktan,50-99,0-1 Yıl,Dijital Medya ve Eğlence,İngilizce Müşteri Temsilcisi,İngilizce Müşteri Temsilcisi,31.000-40.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Ofiste,150-199,1-3 Yıl,Mühendislik,Satış sonrası hizmetler mühendisi ,Satış Sonrası Hizmetler Mühendisi ,21.000-30.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Ulaşım Yardımı, Şirket Telefonu"
Kadın,Yurt dışı,Tam zamanlı,Ofiste,50-99,1-3 Yıl,İnşaat,Santiye müdürü,Santiye Müdürü,91.000-100.000 TL,71.000-90.000 TL,"Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu, Şirket Aracı"
Kadın,Türkiye,Tam zamanlı,Ofiste,50-99,3-5 Yıl,Mühendislik,Satın alma mühendisi,Satın Alma Mühendisi,41.000-50.000 TL,20.000-30.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,Üretim,Metalurji Mühendisi,Metalurji Mühendisi,10.000-20.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Ofiste,50-99,7-9 Yıl,Diğer,Sosyal hizmet uzmanı/sosyal çalışmacı ,Sosyal Hizmet Uzmanı/Sosyal Çalışmacı ,41.000-50.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,12 ve ustu,Tekstil ve Hazır Giyim,Uluslararası Kapasite Planlama ve Analiz Uzmanı,Uluslararası Kapasite Planlama Ve Analiz Uzmanı,41.000-50.000 TL,20.000-30.000 TL,"Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,12 ve ustu,Telekomünikasyon,Ön muhasebe ,Ön Muhasebe ,21.000-30.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Uzaktan,1-49,1-3 Yıl,Perakende ve E-tıcaret,etsy export specialist,Etsy Export Specialist,10.000-20.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Ofiste,50-99,5-7 Yıl,Eğitim,Öğretmen ,Öğretmen ,31.000-40.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,7-9 Yıl,Sağlık ve Tıp,Hemşirelik,Hemşirelik,41.000-50.000 TL,Ek gelirim yok,Yan hakkim yok
Erkek,Türkiye,Tam zamanlı,Ofiste,1-49,12 ve ustu,Üretim,Satış danışmanı,Satış Danışmanı,21.000-30.000 TL,Ek gelirim yok,"Ulaşım Yardımı, Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,1-3 Yıl,Diğer,Avukat,Avukat,41.000-50.000 TL,Ek gelirim yok,Özel Sağlık Sigortası
Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,5-7 Yıl,Sağlık ve Tıp,Kalite güvence müdürü ve mesul müdür,Kalite Güvence Müdürü Ve Mesul Müdür,61.000-70.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu, Şirket Aracı"
Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,5-7 Yıl,Bilgi Teknolojileri ve Yazılım,Analist,Analist,91.000-100.000 TL,91.000-110.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Ofiste,150-199,0-1 Yıl,Diğer,Kalite mühendisliği ,Kalite Mühendisliği ,10.000-20.000 TL,Ek gelirim yok,"Yan hakkim yok, Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Eğitim,Eğitim Teknolojileri Uzmanı,Eğitim Teknolojileri Uzmanı,31.000-40.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,5-7 Yıl,Diğer,Analist,Analist,31.000-40.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,0-1 Yıl,Otomotiv,Operasyonel mükemmellik mühendisi ,Operasyonel Mükemmellik Mühendisi ,21.000-30.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,3-5 Yıl,Sağlık ve Tıp,Psikolog ,Psikolog ,21.000-30.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Yarı zamanlı,Hybrid,1-49,1-3 Yıl,Tekstil ve Hazır Giyim,Office supporter,Office Supporter,21.000-30.000 TL,Ek gelirim yok,"Yan hakkim yok, Şirket Aracı"
Kadın,Türkiye,Yarı zamanlı,Hybrid,1-49,0-1 Yıl,Diğer,Sales administrator ,Sales Administrator ,10.000-20.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,5-7 Yıl,Havacılık,Süreç ve risk yönetimi lider mühendisi,Süreç Ve Risk Yönetimi Lider Mühendisi,91.000-100.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,0-1 Yıl,Üretim,Uzman yardımcısı,Uzman Yardımcısı,21.000-30.000 TL,Ek gelirim yok,Ulaşım Yardımı
Kadın,Türkiye,Tam zamanlı,Uzaktan,1-49,5-7 Yıl,İnşaat,Uzman mimar,Uzman Mimar,41.000-50.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,5-7 Yıl,Diğer,Banka müşteri temsilcisi ,Banka Müşteri Temsilcisi ,21.000-30.000 TL,20.000-30.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Üretim,Metot mühendisi,Metot Mühendisi,31.000-40.000 TL,Ek gelirim yok,Özel Sağlık Sigortası
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,3-5 Yıl,Finans ve Muhasebe,Kıdemli Eğitim Teknologu,Kıdemli Eğitim Teknologu,31.000-40.000 TL,71.000-90.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,3-5 Yıl,Eğitim,Visiting Instructor ,Visiting Instructor ,61.000-70.000 TL,Ek gelirim yok,Özel Sağlık Sigortası
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,7-9 Yıl,Eğitim,Araştırma Görevlisi,Araştırma Görevlisi,51.000-60.000 TL,Ek gelirim yok,Özel Sağlık Sigortası
Kadın,Türkiye,Tam zamanlı,Ofiste,100-149,1-3 Yıl,Sağlık ve Tıp,Pazarlama Uzmanı,Pazarlama Uzmanı,31.000-40.000 TL,31.000-50.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu, Şirket Aracı, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,5-7 Yıl,Sağlık ve Tıp,Diyetisyen,Diyetisyen,51.000-60.000 TL,20.000-30.000 TL,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Mühendislik,Mimar,Mimar,31.000-40.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Tekstil ve Hazır Giyim,İç denetim sorunlusu,İç Denetim Sorunlusu,41.000-50.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Finans ve Muhasebe,İş bankası Şube müşteri temsilcisi ,İş Bankası Şube Müşteri Temsilcisi ,31.000-40.000 TL,20.000-30.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,Marka Pazarlama Uzmanı,Marka Pazarlama Uzmanı,81.000-90.000 TL,150.000 TL ve üstü,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,İnşaat,Mimar,Mimar,21.000-30.000 TL,Ek gelirim yok,Yan hakkim yok
Kadın,Türkiye,Tam zamanlı,Ofiste,150-199,5-7 Yıl,Mühendislik,Kalite Dokümantadyon,Kalite Dokümantadyon,31.000-40.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Ulaşım Yardımı, Şirket Telefonu"
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,7-9 Yıl,Sağlık ve Tıp,Finance Manager,Finance Manager,101.000-120.000 TL,111.000-150.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu, Şirket Aracı"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,12 ve ustu,Diğer,Zabıt katibi,Zabıt Katibi,41.000-50.000 TL,Ek gelirim yok,Ulaşım Yardımı
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,3-5 Yıl,Perakende ve E-tıcaret,Senior Data Scientist,Senior Data Scientist,51.000-60.000 TL,91.000-110.000 TL,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Mühendislik,Ürün ağacı mühendisi ,Ürün Ağacı Mühendisi ,31.000-40.000 TL,Ek gelirim yok,"Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı"
Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,3-5 Yıl,Telekomünikasyon,Müşteri temsilcisi ,Müşteri Temsilcisi ,10.000-20.000 TL,Ek gelirim yok,"Yemek Yardımı  (Sodexo, Multinet vs)"
Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,Diğer,Avukat,Avukat,21.000-30.000 TL,Ek gelirim yok,Yan hakkim yok
